RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
6078,CANDIDATE,0.05,1.15,0.3,0.4,0.6,0.2,0.8,0.07,100,100,75,250,8,3,80,70,20,-12.21,-18.57,3.94,13.49,18.57,130.0,0,1,6,0.8,1.0,-3142.815,REJECTED_RECOVERY_LOSS
10117,CANDIDATE,0.1,1.15,0.2,0.4,0.6,0.15,0.85,0.03,100,150,25,300,8,3,40,50,25,-4.68,-23.03,12.24,13.03,23.03,240.0,0,1,6,0.8,1.0,-3142.825,REJECTED_RECOVERY_LOSS
862,CANDIDATE,0.1,1.05,0.25,0.5,0.5,0.2,0.8,0.1,150,200,100,200,5,3,40,70,30,-5.72,-15.54,13.5,10.29,16.5,230.0,2,3,4,1.0,1.0,-3142.885,REJECTED_STOP_MAX_LEVELS
13326,CANDIDATE,0.05,1.15,0.25,0.4,0.6,0.1,0.9,0.1,100,200,75,100,10,3,80,60,30,-11.32,-20.22,1.42,12.28,20.22,130.0,0,1,6,1.0,1.0,-3143.0,REJECTED_RECOVERY_LOSS
8177,CANDIDATE,0.05,1.2,0.35,0.5,0.5,0.4,0.6,0.05,200,150,50,100,9,3,60,70,15,-10.04,-12.93,1.23,10.46,12.93,140.0,0,1,6,1.0,1.0,-3143.015,REJECTED_RECOVERY_LOSS
13316,CANDIDATE,0.1,1.2,0.15,0.4,0.6,0.3,0.7,0.0,100,200,75,100,5,7,40,50,25,-4.04,-28.17,9.37,10.45,25.12,240.0,2,3,4,1.0,1.0,-3143.045,REJECTED_STOP_MAX_LEVELS
4416,CANDIDATE,0.05,1.05,0.3,0.5,0.5,0.2,0.8,0.03,200,100,75,100,8,3,80,50,30,-13.5,-19.43,3.92,14.64,19.43,120.0,0,1,6,1.0,1.0,-3143.115,REJECTED_RECOVERY_LOSS
4375,CANDIDATE,0.05,1.1,0.2,0.5,0.5,0.1,0.9,0.03,150,150,100,250,8,3,80,60,25,-11.69,-16.3,1.61,12.62,16.69,130.0,0,1,6,1.0,1.0,-3143.165,REJECTED_RECOVERY_LOSS
24434,CANDIDATE,0.1,1.1,0.35,0.35,0.65,0.15,0.85,0.07,150,70,75,200,9,3,40,50,25,-3.32,-13.56,7.54,9.15,13.56,250.0,0,1,6,0.8,0.8571,-3143.175,REJECTED_RECOVERY_LOSS
5659,CANDIDATE,0.05,1.25,0.2,0.5,0.5,0.3,0.7,0.07,70,100,75,250,10,3,80,50,15,-13.11,-18.21,7.22,15.02,18.72,130.0,0,1,6,1.0,1.0,-3143.26,REJECTED_RECOVERY_LOSS
22665,CANDIDATE,0.05,1.1,0.2,0.4,0.6,0.2,0.8,0.0,200,200,100,150,8,3,80,50,30,-11.4,-18.33,0.73,12.09,18.33,130.0,0,1,6,1.0,1.0,-3143.26,REJECTED_RECOVERY_LOSS
16067,CANDIDATE,0.05,1.1,0.3,0.45,0.55,0.4,0.6,0.03,150,150,50,250,10,3,80,50,20,-12.2,-15.92,3.37,13.32,16.47,130.0,0,1,6,1.0,1.0,-3143.375,REJECTED_RECOVERY_LOSS
21998,CANDIDATE,0.05,1.18,0.15,0.45,0.55,0.1,0.9,0.03,150,200,25,150,8,3,80,50,15,-13.17,-19.31,2.31,14.93,19.31,120.0,0,1,6,1.0,1.0,-3143.45,REJECTED_RECOVERY_LOSS
5337,CANDIDATE,0.1,1.18,0.2,0.3,0.7,0.1,0.9,0.03,150,70,50,100,6,3,30,60,30,-3.09,-16.78,4.03,9.48,16.78,250.0,0,3,4,1.0,1.3333,-3143.475,REJECTED_COMPRESSION
18755,CANDIDATE,0.05,1.12,0.25,0.5,0.5,0.1,0.9,0.0,100,200,50,100,9,3,80,50,20,-12.6,-18.33,4.76,13.86,18.33,130.0,0,1,6,1.0,1.0,-3143.515,REJECTED_RECOVERY_LOSS
12142,CANDIDATE,0.1,1.18,0.25,0.4,0.6,0.25,0.75,0.0,200,200,25,250,9,10,30,60,15,-3.84,-18.42,7.08,9.85,19.61,250.0,3,4,3,1.0,1.0,-3143.635,REJECTED_STOP_MAX_LEVELS
22097,CANDIDATE,0.05,1.12,0.3,0.5,0.5,0.2,0.8,0.07,70,100,100,300,8,3,80,50,25,-11.95,-17.33,2.12,13.59,18.27,130.0,0,1,6,1.0,1.0,-3143.735,REJECTED_RECOVERY_LOSS
16412,CANDIDATE,0.05,1.2,0.15,0.4,0.6,0.1,0.9,0.03,70,70,25,100,8,3,60,50,20,-13.24,-17.12,2.13,13.72,17.12,120.0,0,1,6,0.8,1.0,-3143.89,REJECTED_RECOVERY_LOSS
24518,CANDIDATE,0.1,1.1,0.3,0.5,0.5,0.2,0.8,0.0,200,200,100,200,6,3,40,50,30,-4.37,-15.6,14.1,10.55,16.56,250.0,1,2,5,1.0,1.0,-3143.9,REJECTED_STOP_MAX_LEVELS
24642,CANDIDATE,0.05,1.1,0.2,0.5,0.5,0.25,0.75,0.0,100,70,75,250,10,3,80,60,20,-12.89,-19.43,5.44,14.92,19.94,130.0,0,1,6,1.0,1.0,-3144.4,REJECTED_RECOVERY_LOSS
3212,CANDIDATE,0.1,1.12,0.15,0.4,0.6,0.25,0.75,0.1,200,150,100,100,5,3,40,60,30,-4.57,-21.64,5.78,11.34,21.64,230.0,2,3,4,1.0,1.0,-3144.405,REJECTED_STOP_MAX_LEVELS
21393,CANDIDATE,0.1,1.05,0.15,0.35,0.65,0.4,0.6,0.07,150,100,75,100,8,3,30,70,25,-5.12,-14.95,7.67,8.35,14.95,220.0,0,1,6,1.0,1.0,-3144.51,REJECTED_RECOVERY_LOSS
1991,CANDIDATE,1.0,1.1,0.2,0.35,0.65,0.25,0.75,0.0,150,200,75,100,9,7,40,60,30,-18.96,-264.53,88.2,116.42,264.53,2320.0,0,4,3,0.7368,0.8077,-3144.765,REJECTED_RECOVERY_LOSS
20404,CANDIDATE,0.05,1.15,0.3,0.4,0.6,0.3,0.7,0.1,150,200,75,200,10,3,80,50,25,-11.87,-19.12,1.0,12.66,19.12,130.0,0,1,6,1.0,1.0,-3144.97,REJECTED_RECOVERY_LOSS
19080,CANDIDATE,0.05,1.12,0.15,0.3,0.7,0.1,0.9,0.05,150,150,50,250,10,3,80,50,15,-13.41,-20.92,2.19,14.38,20.92,120.0,0,1,6,0.8,0.8,-3145.01,REJECTED_RECOVERY_LOSS
13356,CANDIDATE,0.05,1.12,0.35,0.35,0.65,0.15,0.85,0.07,200,200,50,200,10,3,80,60,15,-10.81,-14.99,1.39,11.4,14.99,140.0,0,1,6,0.8,0.8,-3145.06,REJECTED_RECOVERY_LOSS
13855,CANDIDATE,0.05,1.15,0.2,0.4,0.6,0.4,0.6,0.1,150,100,25,150,9,3,60,70,30,-11.71,-15.5,0.2,12.04,15.5,130.0,0,1,6,1.0,1.0,-3145.26,REJECTED_RECOVERY_LOSS
14546,CANDIDATE,0.1,1.15,0.35,0.5,0.5,0.1,0.9,0.03,100,100,25,300,8,3,30,60,20,-2.35,-5.32,2.42,5.64,7.11,250.0,0,1,6,1.0,1.0,-3145.275,REJECTED_RECOVERY_LOSS
